Cluster,Plot,ILUA_I,SelectPlot,SoilSample,X_Start,Y_Start,ILUA_I_TRA,Zone,Province,District,CenterX,CenterY
7533.000000,1.000000,0.000000,1.000000,0.000000,413364.000000,8540533.000000,0.000000,UTM-36,Eastern,Mambwe,413609.000000,8540783.000000
7674.000000,1.000000,0.000000,1.000000,0.000000,424169.000000,8551625.000000,0.000000,UTM-36,Eastern,Mambwe,424414.000000,8551875.000000
7811.000000,1.000000,1.000000,1.000000,1.000000,391803.000000,8562901.000000,108.000000,UTM-36,Eastern,Mambwe,392048.000000,8563151.000000
7812.000000,1.000000,0.000000,1.000000,0.000000,402449.000000,8562616.000000,0.000000,UTM-36,Eastern,Mambwe,402694.000000,8562866.000000
5136.000000,1.000000,0.000000,1.000000,0.000000,231082.000000,8351149.000000,0.000000,UTM-36,Eastern,Nyimba,231327.000000,8351399.000000
5273.000000,1.000000,0.000000,1.000000,0.000000,198646.000000,8361837.000000,0.000000,UTM-36,Eastern,Nyimba,198891.000000,8362087.000000
5276.000000,1.000000,0.000000,1.000000,1.000000,230958.000000,8362219.000000,0.000000,UTM-36,Eastern,Nyimba,231203.000000,8362469.000000
5277.000000,1.000000,0.000000,1.000000,0.000000,241727.000000,8362337.000000,0.000000,UTM-36,Eastern,Nyimba,241972.000000,8362587.000000
5692.000000,1.000000,0.000000,1.000000,0.000000,187448.000000,8394918.000000,0.000000,UTM-36,Eastern,Nyimba,187693.000000,8395168.000000
5696.000000,1.000000,1.000000,1.000000,1.000000,230791.000000,8395752.000000,169.000000,UTM-36,Eastern,Nyimba,231036.000000,8396002.000000
5701.000000,1.000000,1.000000,1.000000,1.000000,284705.000000,8396282.000000,170.000000,UTM-36,Eastern,Nyimba,284950.000000,8396532.000000
5975.000000,1.000000,0.000000,1.000000,0.000000,219556.000000,8417447.000000,0.000000,UTM-36,Eastern,Nyimba,219801.000000,8417697.000000
5976.000000,1.000000,0.000000,1.000000,1.000000,230351.000000,8417565.000000,0.000000,UTM-36,Eastern,Nyimba,230596.000000,8417815.000000
5978.000000,1.000000,0.000000,1.000000,0.000000,251937.000000,8417789.000000,0.000000,UTM-36,Eastern,Nyimba,252182.000000,8418039.000000
5979.000000,1.000000,0.000000,1.000000,0.000000,262730.000000,8417893.000000,0.000000,UTM-36,Eastern,Nyimba,262975.000000,8418143.000000
6114.000000,1.000000,0.000000,1.000000,0.000000,208633.000000,8428394.000000,0.000000,UTM-36,Eastern,Nyimba,208878.000000,8428644.000000
6254.000000,1.000000,0.000000,1.000000,0.000000,208505.000000,8439464.000000,0.000000,UTM-36,Eastern,Nyimba,208750.000000,8439714.000000
6256.000000,1.000000,0.000000,1.000000,0.000000,230114.000000,8439703.000000,0.000000,UTM-36,Eastern,Nyimba,230359.000000,8439953.000000
6258.000000,1.000000,0.000000,1.000000,0.000000,251719.000000,8439924.000000,0.000000,UTM-36,Eastern,Nyimba,251964.000000,8440174.000000
6393.000000,1.000000,0.000000,1.000000,0.000000,197568.000000,8450409.000000,0.000000,UTM-36,Eastern,Nyimba,197813.000000,8450659.000000
6394.000000,1.000000,0.000000,1.000000,0.000000,208378.000000,8450535.000000,0.000000,UTM-36,Eastern,Nyimba,208623.000000,8450785.000000
6395.000000,1.000000,0.000000,1.000000,0.000000,219188.000000,8450656.000000,0.000000,UTM-36,Eastern,Nyimba,219433.000000,8450906.000000
6396.000000,1.000000,1.000000,1.000000,1.000000,230196.000000,8451097.000000,148.000000,UTM-36,Eastern,Nyimba,230441.000000,8451347.000000
6401.000000,1.000000,1.000000,1.000000,1.000000,284229.000000,8451611.000000,149.000000,UTM-36,Eastern,Nyimba,284474.000000,8451861.000000
6541.000000,1.000000,0.000000,1.000000,0.000000,283936.000000,8462351.000000,0.000000,UTM-36,Eastern,Nyimba,284181.000000,8462601.000000
5565.000000,1.000000,0.000000,1.000000,0.000000,327702.000000,8385233.000000,0.000000,UTM-36,Eastern,Petauke,327947.000000,8385483.000000
5706.000000,1.000000,1.000000,1.000000,1.000000,338603.000000,8396695.000000,171.000000,UTM-36,Eastern,Petauke,338848.000000,8396945.000000
5847.000000,1.000000,0.000000,1.000000,0.000000,349114.000000,8407501.000000,0.000000,UTM-36,Eastern,Petauke,349359.000000,8407751.000000
5989.000000,1.000000,0.000000,1.000000,0.000000,370622.000000,8418684.000000,0.000000,UTM-36,Eastern,Petauke,370867.000000,8418934.000000
6262.000000,1.000000,0.000000,1.000000,0.000000,294923.000000,8440310.000000,0.000000,UTM-36,Eastern,Petauke,295168.000000,8440560.000000
